plant_id,per_thin,shd_trt,fert_trt,plot_type,per_n,per_c,c_n,tissue
F1,0,shd,h,hshd,2.78,45.9,16.5229,leaf
F2,66,shd,h,hshd,2.31,44.7,19.33,leaf
F3,0,shd,h,hshd,2.78,45.16,16.231,leaf
F4,0,shd,h,hshd,3.12,46.2,14.7923,leaf
F5,66,shd,h,hshd,2.41,46.34,19.2008,leaf
F6,0,shd,h,hshd,2.67,46.47,17.4284,leaf
F7,66,shd,h,hshd,2.34,43.73,18.693,leaf
F8,0,shd,h,hshd,2.67,46.74,17.4738,leaf
F9,66,shd,h,hshd,2.12,46.05,21.7433,leaf
F10,66,shd,h,hshd,2.62,46.15,17.5918,leaf
F11,0,shd,l,lshd,3.08,46.35,15.0649,leaf
F12,0,shd,l,lshd,3.09,46.62,15.1048,leaf
F13,0,shd,l,lshd,2.73,46.19,16.9064,leaf
F14,66,shd,l,lshd,2.32,46.52,20.0778,leaf
F15,66,shd,l,lshd,3.06,46.34,15.1516,leaf
F16,66,shd,l,lshd,2.98,47.2,15.8423,leaf
F17,66,shd,l,lshd,2.8,47.76,17.0847,leaf
F18,0,shd,l,lshd,2.16,45.79,21.2363,leaf
F19,66,shd,l,lshd,2.48,46.9,18.9384,leaf
F20,0,shd,l,lshd,2.79,45.76,16.4193,leaf
F21,66,sun,l,lsun,3.03,45.67,15.0488,leaf
F22,66,sun,l,lsun,2.96,47.4,16.0363,leaf
F23,0,sun,l,lsun,2.93,45.92,15.67,leaf
F24,0,sun,l,lsun,2.86,47.28,16.5459,leaf
F25,0,sun,l,lsun,2.95,44.36,15.0505,leaf
F26,66,sun,l,lsun,2.73,46.07,16.856,leaf
F27,66,sun,l,lsun,1.94,47.49,24.4335,leaf
F28,0,sun,l,lsun,2.64,45.47,17.1971,leaf
F29,66,sun,l,lsun,2.19,46.63,21.3387,leaf
F30,0,sun,l,lsun,2.29,48.1,20.9591,leaf
F31,66,sun,h,hsun,2.49,46.81,18.7929,leaf
F32,0,sun,h,hsun,1.89,47,24.8623,leaf
F33,66,sun,h,hsun,2.15,49.55,23.0868,leaf
F34,0,sun,h,hsun,2.7,46.11,17.0692,leaf
F35,66,sun,h,hsun,2.63,46.77,17.7647,leaf
F36,66,sun,h,hsun,2.8,46.84,16.7145,leaf
F37,0,sun,h,hsun,2.78,47.33,17.0043,leaf
F38,66,sun,h,hsun,2.35,46.9,19.995,leaf
F39,0,sun,h,hsun,2.59,48.09,18.5497,leaf
F40,0,sun,h,hsun,2.88,47.48,16.4596,leaf
F1,0,shd,h,hshd,1.78,46.09,25.869,stem
F2,66,shd,h,hshd,1.7,46.98,27.5713,stem
F3,0,shd,h,hshd,1.71,45,26.3269,stem
F4,0,shd,h,hshd,1.8,44.05,24.4593,stem
F5,66,shd,h,hshd,1.3,45.58,35.0565,stem
F6,0,shd,h,hshd,1.69,44.96,26.5238,stem
F7,66,shd,h,hshd,1.67,43.54,26.1159,stem
F8,0,shd,h,hshd,1.43,45.87,32.1385,stem
F9,66,shd,h,hshd,1.04,46.51,44.9335,stem
F10,66,shd,h,hshd,1.75,44.55,25.447,stem
F11,0,shd,l,lshd,1.84,46.38,25.2218,stem
F12,0,shd,l,lshd,1.85,45.47,24.6163,stem
F13,0,shd,l,lshd,2.2,45.75,20.7993,stem
F14,66,shd,l,lshd,1.16,41.77,36.0574,stem
F15,66,shd,l,lshd,1.63,45.14,27.745,stem
F16,66,shd,l,lshd,1.69,42.87,25.37,stem
F17,66,shd,l,lshd,1.67,45.84,27.4438,stem
F18,0,shd,l,lshd,1.25,44.19,35.4518,stem
F19,66,shd,l,lshd,1.42,45.83,32.1684,stem
F20,0,shd,l,lshd,2,46.45,23.225,stem
F21,66,sun,l,lsun,1.6,45.42,28.3303,stem
F22,66,sun,l,lsun,1.77,43.13,24.3843,stem
F23,0,sun,l,lsun,1.85,46.02,24.899,stem
F24,0,sun,l,lsun,1.33,41.78,31.5203,stem
F25,0,sun,l,lsun,1.91,45.51,23.8203,stem
F26,66,sun,l,lsun,1.67,44.38,26.5355,stem
F27,66,sun,l,lsun,1.22,44.48,36.3631,stem
F28,0,sun,l,lsun,1.64,45.2,27.5621,stem
F29,66,sun,l,lsun,1.5,49.46,32.9308,stem
F30,0,sun,l,lsun,1.4,46.89,33.4398,stem
F31,66,sun,h,hsun,1.2,46.01,38.1905,stem
F32,0,sun,h,hsun,1.78,45.34,25.5045,stem
F33,66,sun,h,hsun,1.61,46.75,28.9682,stem
F34,0,sun,h,hsun,1.67,46.52,27.8892,stem
F35,66,sun,h,hsun,1.82,45.69,25.1449,stem
F36,66,sun,h,hsun,2.07,45.46,21.9731,stem
F37,0,sun,h,hsun,1.95,46.49,23.8646,stem
F38,66,sun,h,hsun,1.26,45.99,36.5518,stem
F39,0,sun,h,hsun,1.75,45.8,26.1067,stem
F40,0,sun,h,hsun,1.91,45.43,23.834,stem